path,id,fullterm,tooltip/en,tooltip/es,tooltip/pt,resources/symbdocs/href,resources/symbdocs/meta/name,resources/symbdocs/meta/source
taxa/taxonomy,taxonomydisplay.php,Taxonomic Tree Viewer,Use the Taxonomy Tree Viewer to search for specific taxa and display their position in this portal's taxonomic backbone.,,Use o Visualizador Taxonômico para procurar por táxons específicos e para mostrar seu posicionamento na taxonomia unificada desse portal.,,,
taxa/taxonomy,taxonomydynamicdisplay.php,Taxonomy Explorer,Use the Taxonomy Tree Viewer to search for specific taxa and display their position in this portal's taxonomic backbone or click the + buttons in the hierarchy to explore the lower nodes.,,"Use o Visualizador Taxonômico para procurar por táxons específicos ou para mostrar seu posicionamento na taxonomia centralizada desse portal, ou clique nos botões de + na hierarquia para explorar os nós incluídos.",,,
