path,id,fullterm,tooltip/en,tooltip/es,tooltip/pt,resources/dwc/href,resources/dwc/meta/name,resources/dwc/meta/source,resources/symbdocs/href,resources/symbdocs/meta/name,resources/symbdocs/meta/source
terms,georeferenceProtocol,Georeference Protocol,The source of the standards used to georeference. Example(s): Georeferencing Quick Guide. Zermoglio et al. 2020. See Darwin Core's georeferenceProtocol.,,,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,Georeference Protocol,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#georeferenceProtocol,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,georeferenceSources,Georeference Sources,"The tool or tools used to georeference. Example(s): GeoLocate, Google Earth, USGS map. See Darwin Core's georeferenceSources.",,,http://rs.tdwg.org/dwc/terms/georeferenceSources,Georeference Sources,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#georeferenceSources,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,georeferenceVerificationStatus,Georef Verificiation Status,"Indicates whether or not the georeference has been reviewed or verified. Example(s): reviewed, not reviewed. See Darwin Core's georeferenceVerificationStatus.",,,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,Georef Verificiation Status,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#georeferenceVerificationStatus,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,habitat,Habitat,"The description of the habitat in which the specimen was collected. Example(s): Wet areas along a small stream in chaparral, roadside. See Darwin Core's habitat.",,,http://rs.tdwg.org/dwc/terms/habitat,Habitat,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#habitat,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,identificationQualifier,Identification Qualifier,"The determiner’s expression of uncertainty in their identification. This will be listed on the label along with the scientific name. Example(s): cf., aff. See Darwin Core's identificationQualifier.",,,http://rs.tdwg.org/dwc/terms/identificationQualifier,Identification Qualifier,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#identificationQualifier,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,identificationReferences,ID References,"The reference source used to make the identification. Example(s): Nesom, Guy L. 2006. Flora of North America – Asteraceae. vol. 20. See Darwin Core's identificationReferences.",,,http://rs.tdwg.org/dwc/terms/identificationReferences,ID References,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#identificationReferences,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,identificationRemarks,ID Remarks,Any additional notes regarding the identification of the specimen. See Darwin Core's identificationRemarks.,,,http://rs.tdwg.org/dwc/terms/identificationRemarks,ID Remarks,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#identificationRemarks,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,identifiedBy,Identified By,The name of the person who identified the specimen. Also called a determiner. Example(s): L. R. Landrum. See Darwin Core's identifiedBy.,,,http://rs.tdwg.org/dwc/terms/identifiedBy,Identified By,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#identifiedBy,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,individualCount,Individual Count,The number of individuals in the occurrence Example(s): 36571. See Darwin Core's individualCount.,,,http://rs.tdwg.org/dwc/terms/individualCount,Individual Count,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#individualCount,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,institutionCode,,,,,,,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#institutionCode,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
